Fid, TFA_D, SFA_D, TMA_D, PMOO_D
101, 4118.395610976108, 413.02309271164506, 249.81195854645094, 249.81195854645094
360, 8978.038429561766, 2147.5294775558923, 1861.3278943341707, 1971.5250801576271
172, 6222.764826623493, 890.2760049856822, 813.0632194768629, 889.9892113297162
198, 4964.075351413576, 348.55372239756235, 177.0875274998042, 177.0875274998042
91, 14946.823660594304, 1040.8623200844672, 490.6931749341041, 490.6931749341041
387, 4821.0083788944685, 750.955574194183, 346.9288443529539, 346.9288443529539
331, 1924.7350312509056, 539.5962478188549, 327.43018352188216, 327.4301835218821
378, 56511.72189684908, 6612.572865010777, 5085.254750037089, 6081.9567815555965
116, 7093.843189406548, 2221.5467097661995, 2071.4017109930496, 2535.839773716772
283, 102.84466019417543, 3.873495145631069, 3.873495145631069, 3.9600000000000004
385, 14024.53450702165, 4514.747409794654, 4261.4154769085535, 4282.220180161545
183, 1953.6086395648067, 467.6289201305004, 454.35878647753435, 566.9979436970547
307, 10376.53656989159, 707.595300183094, 631.2938884757556, 636.4242291448928
310, 11458.56855512027, 2547.9148804842735, 2326.1377424539583, 2621.6698959206124
210, 4821.0083788944685, 750.955574194183, 346.9288443529539, 346.9288443529539
431, 16444.128554394163, 3505.3519058934494, 3311.737410526754, 4081.275842929361
79, 768.809249745517, 305.3400499710772, 299.82835618080645, 440.2714898820195
418, 6182.048685346904, 971.9966279436576, 398.01933577474693, 419.96698746198
5, 1447.7425504092807, 474.7016764215286, 390.5620163131282, 390.5620163131283
395, 2485.8642390901236, 500.63986465201293, 480.02198062566276, 560.70387675769
76, 768.809249745517, 299.54878371578354, 294.0370899255128, 472.990446554852
373, 20309.947165125468, 2067.2082962064687, 1125.160088870103, 1131.22792980844
19, 210074.39455368574, 11827.915292317623, 7073.635899676293, 7806.397739730737
393, 7071.393867016781, 2223.0442656430596, 2072.8992668699098, 2469.6211821566603
55, 19632.645430042277, 3983.7762269787704, 3407.221725886206, 3794.1783996099484
200, 9911.024700324593, 2518.0915195108873, 2332.839072281605, 2667.429104895788
216, 1924.7350312509056, 539.5962478188549, 327.43018352188216, 327.4301835218821
374, 960.0222198018587, 341.79379951282317, 328.38450505840837, 431.4278470156231
309, 6466.423670166365, 1011.5328616780711, 810.3647496593579, 824.7234929759891
304, 7071.393867016781, 2218.5058513909116, 2068.360852617762, 2653.9559217966644
236, 953.5099274430552, 335.96278292210303, 328.3334207658614, 447.040663584292
31, 854.5099274430556, 332.23353577100823, 326.72184198073757, 398.8455532644983
72, 3980.676862883686, 640.9564440236438, 615.6300904784998, 620.6707588795854
276, 60980.047263983346, 9587.045947081622, 4055.9134580570876, 4177.11136165389
73, 54007.65339696656, 8366.127422232581, 4033.46473426179, 4314.504577401113
280, 10054.503394231633, 3183.2283657215844, 2051.288374462342, 2060.518266514164
252, 1944.8000754593513, 503.8134270703851, 318.5451033549635, 333.20805876695886
258, 9032.263645653504, 902.6787033905082, 696.6422258924969, 698.8029401782111
251, 98.99999999999997, 4.759615384615384, 4.759615384615384, 4.759615384615384
21, 98.99999999999918, 6.537735849056601, 6.537735849056601, 6.537735849056601
23, 60210.53001631716, 9622.600837588558, 4222.303898401459, 4550.216296306411
411, 101589.31115623524, 13603.82902692965, 8731.314470307665, 9533.147323421501
82, 3342.5910628560036, 189.99134221476967, 174.42229352850663, 184.01857082293816
460, 9909.998250703664, 762.5797681514777, 660.736360361276, 662.9378428410604
464, 60134.995016787856, 6492.940676978539, 4954.2409607123, 6024.842117043828
390, 101589.31115623524, 13605.92345572735, 8725.011891700491, 9446.873938251783
344, 17495.15906569186, 1603.729389760577, 1520.1990442516221, 1526.681434996783
54, 6188.872655595401, 1008.5052006099348, 802.573232662, 945.2742936091767
169, 23416.522421410948, 5282.459239425456, 3319.3045941532732, 3686.490403637148
326, 101490.31115623524, 13621.45349335606, 8734.672716308769, 9456.534762860063
128, 4333.9398000911215, 1418.9065199571592, 1351.6672986914348, 2019.6796811937572
422, 61164.74794168088, 9494.198091663684, 3985.9695211726744, 4209.790262870189
381, 7157.0945447143185, 2231.7128593752036, 2050.133185783312, 2225.245708532217
93, 14123.53450702165, 4518.119494207835, 4264.787561321734, 5633.530414714556
108, 1141.994011782575, 265.26463117606477, 188.21140131738403, 188.211401317384
107, 101702.24292595805, 13595.175464825801, 8717.737803925473, 10261.19981855972
18, 768.809249745517, 299.3295545364044, 293.8178607461336, 473.0195860511765
175, 17033.510368098796, 5051.354777836743, 4785.012384630014, 6076.34678269382
63, 22123.51422049337, 1954.9056939334275, 973.7135902058766, 973.7135902058766
185, 4722.0083788944685, 772.1298819717247, 368.0466211452334, 374.22925952287403
372, 1910.8032615280908, 521.0845547519143, 319.8193701436486, 364.84987219971
244, 24298.927080068857, 4252.312239012055, 3864.3724536675436, 3882.504119661
391, 197.9999999999995, 14.57042619542619, 11.423076923076923, 11.423076923076923
17, 19255.104415471313, 3979.0361433896246, 3411.5632731487385, 3472.9127138171693
205, 3609.148080973997, 528.9268739358423, 481.85165822004404, 481.85165822004404
247, 24298.927080068857, 4252.312239012055, 3864.3724536675436, 3882.504119661
319, 16458.060324116977, 3517.4168930386463, 3323.802397671951, 3537.9552789822787
124, 10376.536569891588, 708.733959374939, 629.5570463704923, 634.6873870396296
303, 19095.86799010446, 5294.249143601378, 4641.9003315706805, 5142.097574675653
253, 953.5099274430556, 338.1247286029342, 331.402720128079, 455.96870730610624
66, 10153.503394231631, 3183.0975001831025, 2052.3102203889375, 2738.225266688269
148, 8209.229179816248, 1930.7967142538857, 1830.9111187171889, 1840.7010527155348
336, 5835.285502448494, 1007.2826444702052, 646.894292191936, 652.2710051530938
426, 2084.3097177364994, 482.8231690144745, 466.2907632959855, 577.0623592168388
329, 3991.807447149943, 1407.813575599384, 1351.051362836176, 1840.7923590683313
100, 3570.7078820370402, 308.2241498458473, 251.17926705430727, 254.91394453664623
455, 791.2585721352846, 306.2299580193092, 300.7182642290385, 451.90399921551136
305, 29263.002431482433, 4480.180546119704, 3987.4730253399584, 4441.404109406116
37, 483.4660194174791, 11.263427785478852, 7.841584158415842, 7.841584158415842
168, 9032.263645653504, 900.2160881088474, 709.5863011978073, 711.7672090749769
266, 7599.669979121374, 2189.0989782637143, 2030.967240205997, 2551.2751586208765
52, 3991.807447149943, 1407.813575599384, 1351.051362836176, 1840.7923590683313
208, 6681.113649271624, 1569.2644362537442, 1430.2741357270743, 1910.670262314739
144, 21148.7858405729, 1714.502370272612, 1651.269055130074, 2224.455955933451
467, 3950.6267748810365, 1399.7777567280043, 1343.015543964796, 1874.178566654082
40, 1953.6086395648072, 480.1523591007922, 466.8822254478261, 489.0326793465027
312, 8978.038429561764, 2145.7056836831916, 1852.0285875087645, 1879.8771181071022
110, 14946.823660594306, 1037.3332070342, 488.8841864435735, 488.8841864435735
235, 9099.487751951532, 2141.5850553950922, 1847.8715265752662, 1976.6817031011994
60, 4333.9398000911215, 1418.9065199571592, 1351.6672986914348, 2019.6796811937572
355, 8411.720920872234, 2054.001414328255, 1709.08067241581, 1802.5631550290389
62, 3609.148080973997, 528.9268739358423, 481.85165822004404, 481.85165822004404
109, 3944.0750782307045, 711.4877266852301, 528.0901904352698, 564.5719041640649
89, 3980.676862883686, 640.9564440236438, 615.6300904784998, 620.6707588795854
379, 3944.0750782307045, 713.5278181601374, 529.1848736657078, 564.4776578593203
179, 16577.125368325425, 3521.176827776938, 3327.5623324102426, 4118.057641193018
0, 98.99999999999918, 6.537735849056601, 6.537735849056601, 6.537735849056601
117, 791.2585721352846, 306.2299580193092, 300.7182642290385, 451.90399921551136
347, 3944.0750782307045, 711.4877266852301, 528.0901904352698, 564.5719041640649
114, 3950.626774881037, 1398.5575612157693, 1341.7953484525613, 1908.4568096032835
85, 20326.411126372244, 6451.662449456676, 4318.3030471281245, 5800.517626047372
461, 16444.128554394163, 3509.1777250953173, 3315.563229728622, 3790.2898855397066
367, 412.26127479965646, 43.392477241807036, 33.5839234018787, 33.58392340187871
56, 3966.524400620472, 701.4653797474589, 525.8148729713131, 540.6954737990698
181, 8445.717734803497, 2057.969679574664, 1702.108311854724, 1711.5559646293302
121, 21416.462037476973, 3961.999430518273, 3058.3750192324533, 3356.049974620079
413, 16557.06032411698, 3517.853321964346, 3319.45711017974, 3923.4880083930097
238, 98.9999999999995, 10.702702702702696, 10.702702702702696, 10.702702702702696
43, 7256.0945447143185, 2221.4481254323778, 2041.1453204671031, 2516.658447462385
136, 1985.3097177364994, 480.43646291768687, 467.0514064715471, 545.0350625398187
288, 19668.375755963367, 2065.960381511816, 1165.144196516949, 1237.3681741953935
176, 960.0222198018587, 341.79379951282317, 328.38450505840837, 431.4278470156231
28, 14024.53450702165, 4514.747409794654, 4261.4154769085535, 4282.220180161545
356, 54140.650210897824, 8372.872012291125, 4032.388144848091, 4476.96383118252
123, 11464.612499822908, 1514.6033796068355, 984.1293419561413, 1005.0485087394565
96, 14347.269139240681, 1055.3217949382179, 499.7925431476134, 499.7925431476134
333, 4657.526073847035, 442.7091108520032, 208.14126816616442, 208.14126816616442
363, 20996.92837403843, 6583.537090675997, 4447.179465928115, 4851.67034776969
220, 2052.6086395648067, 486.5715591110172, 466.4892303361, 537.2215797005116
278, 8544.717734803497, 2053.2675743964314, 1705.245668418573, 1862.164206120774
384, 16972.889213355997, 1179.9093850494903, 528.7262350928544, 528.7262350928544
206, 73843.7637101218, 10414.160164364357, 4889.186532195084, 5692.296730251933
453, 1546.7425504092807, 475.53047251759875, 393.8257525768645, 418.00708975344185
